"Google_query","year_week"
0,"2004 1"
0,"2004 2"
0,"2004 3"
0,"2004 4"
0,"2004 5"
0,"2004 6"
0,"2004 7"
0,"2004 8"
0,"2004 9"
0,"2004 10"
0,"2004 11"
0,"2004 12"
0,"2004 13"
0,"2004 14"
0,"2004 15"
0,"2004 16"
0,"2004 17"
0,"2004 18"
0,"2004 19"
0,"2004 20"
0,"2004 21"
0,"2004 22"
0,"2004 23"
0,"2004 24"
0,"2004 25"
0,"2004 26"
0,"2004 27"
0,"2004 28"
0,"2004 29"
0,"2004 30"
0,"2004 31"
0,"2004 32"
0,"2004 33"
0,"2004 34"
0,"2004 35"
0,"2004 36"
0,"2004 37"
0,"2004 38"
0,"2004 39"
0,"2004 40"
0,"2004 41"
0,"2004 42"
0,"2004 43"
0,"2004 44"
0,"2004 45"
0,"2004 46"
0,"2004 47"
0,"2004 48"
0,"2004 49"
0,"2004 50"
0,"2004 51"
0,"2004 52"
0,"2005 1"
0,"2005 2"
0,"2005 3"
0,"2005 4"
0,"2005 5"
0,"2005 6"
0,"2005 7"
0,"2005 8"
0,"2005 9"
0,"2005 10"
0,"2005 11"
0,"2005 12"
0,"2005 13"
0,"2005 14"
0,"2005 15"
0,"2005 16"
0,"2005 17"
0,"2005 18"
0,"2005 19"
0,"2005 20"
0,"2005 21"
0,"2005 22"
0,"2005 23"
0,"2005 24"
0,"2005 25"
0,"2005 26"
0,"2005 27"
0,"2005 28"
0,"2005 29"
0,"2005 30"
0,"2005 31"
0,"2005 32"
0,"2005 33"
0,"2005 34"
0,"2005 35"
0,"2005 36"
0,"2005 37"
0,"2005 38"
0,"2005 39"
0,"2005 40"
0,"2005 41"
0,"2005 42"
0,"2005 43"
0,"2005 44"
0,"2005 45"
0,"2005 46"
0,"2005 47"
0,"2005 48"
0,"2005 49"
0,"2005 50"
0,"2005 51"
0,"2005 52"
0,"2006 1"
0,"2006 2"
0,"2006 3"
0,"2006 4"
0,"2006 5"
0,"2006 6"
0,"2006 7"
0,"2006 8"
0,"2006 9"
0,"2006 10"
0,"2006 11"
0,"2006 12"
0,"2006 13"
0,"2006 14"
0,"2006 15"
0,"2006 16"
0,"2006 17"
0,"2006 18"
0,"2006 19"
0,"2006 20"
0,"2006 21"
0,"2006 22"
0,"2006 23"
0,"2006 24"
0,"2006 25"
0,"2006 26"
0,"2006 27"
0,"2006 28"
0,"2006 29"
0,"2006 30"
0,"2006 31"
0,"2006 32"
0,"2006 33"
0,"2006 34"
0,"2006 35"
0,"2006 36"
0,"2006 37"
0,"2006 38"
0,"2006 39"
0,"2006 40"
0,"2006 41"
0,"2006 42"
0,"2006 43"
0,"2006 44"
0,"2006 45"
0,"2006 46"
0,"2006 47"
0,"2006 48"
0,"2006 49"
0,"2006 50"
0,"2006 51"
0,"2006 52"
0,"2006 53"
0,"2007 1"
0,"2007 2"
0,"2007 3"
0,"2007 4"
0,"2007 5"
0,"2007 6"
0,"2007 7"
0,"2007 8"
0,"2007 9"
0,"2007 10"
0,"2007 11"
0,"2007 12"
0,"2007 13"
0,"2007 14"
0,"2007 15"
0,"2007 16"
0,"2007 17"
0,"2007 18"
0,"2007 19"
0,"2007 20"
0,"2007 21"
0,"2007 22"
0,"2007 23"
0,"2007 24"
0,"2007 25"
0,"2007 26"
0,"2007 27"
0,"2007 28"
0,"2007 29"
20,"2007 30"
20,"2007 31"
20,"2007 32"
21,"2007 33"
22,"2007 34"
23,"2007 35"
23,"2007 36"
27,"2007 37"
30,"2007 38"
34,"2007 39"
37,"2007 40"
41,"2007 41"
35,"2007 42"
19,"2007 43"
27,"2007 44"
21,"2007 45"
19,"2007 46"
19,"2007 47"
19,"2007 48"
15,"2007 49"
17,"2007 50"
19,"2007 51"
14,"2007 52"
14,"2008 1"
14,"2008 2"
14,"2008 3"
14,"2008 4"
14,"2008 5"
14,"2008 6"
14,"2008 7"
15,"2008 8"
16,"2008 9"
16,"2008 10"
16,"2008 11"
16,"2008 12"
16,"2008 13"
26,"2008 14"
26,"2008 15"
17,"2008 16"
13,"2008 17"
13,"2008 18"
13,"2008 19"
13,"2008 20"
13,"2008 21"
0,"2008 22"
0,"2008 23"
0,"2008 24"
0,"2008 25"
0,"2008 26"
0,"2008 27"
0,"2008 28"
0,"2008 29"
0,"2008 30"
21,"2008 31"
13,"2008 32"
13,"2008 33"
13,"2008 34"
20,"2008 35"
26,"2008 36"
14,"2008 37"
13,"2008 38"
21,"2008 39"
13,"2008 40"
23,"2008 41"
11,"2008 42"
17,"2008 43"
13,"2008 44"
13,"2008 45"
22,"2008 46"
18,"2008 47"
23,"2008 48"
43,"2008 49"
13,"2008 50"
15,"2008 51"
12,"2008 52"
12,"2009 1"
11,"2009 2"
11,"2009 3"
18,"2009 4"
27,"2009 5"
27,"2009 6"
14,"2009 7"
27,"2009 8"
11,"2009 9"
21,"2009 10"
20,"2009 11"
16,"2009 12"
14,"2009 13"
14,"2009 14"
23,"2009 15"
24,"2009 16"
13,"2009 17"
22,"2009 18"
21,"2009 19"
13,"2009 20"
11,"2009 21"
12,"2009 22"
9,"2009 23"
11,"2009 24"
20,"2009 25"
10,"2009 26"
10,"2009 27"
10,"2009 28"
11,"2009 29"
16,"2009 30"
13,"2009 31"
18,"2009 32"
17,"2009 33"
13,"2009 34"
16,"2009 35"
14,"2009 36"
19,"2009 37"
9,"2009 38"
14,"2009 39"
11,"2009 40"
12,"2009 41"
11,"2009 42"
11,"2009 43"
18,"2009 44"
26,"2009 45"
19,"2009 46"
10,"2009 47"
15,"2009 48"
17,"2009 49"
21,"2009 50"
13,"2009 51"
13,"2009 52"
20,"2010 1"
19,"2010 2"
19,"2010 3"
11,"2010 4"
18,"2010 5"
15,"2010 6"
14,"2010 7"
17,"2010 8"
17,"2010 9"
12,"2010 10"
15,"2010 11"
14,"2010 12"
13,"2010 13"
16,"2010 14"
13,"2010 15"
14,"2010 16"
9,"2010 17"
13,"2010 18"
12,"2010 19"
11,"2010 20"
16,"2010 21"
12,"2010 22"
12,"2010 23"
13,"2010 24"
14,"2010 25"
14,"2010 26"
7,"2010 27"
7,"2010 28"
13,"2010 29"
18,"2010 30"
17,"2010 31"
19,"2010 32"
17,"2010 33"
23,"2010 34"
20,"2010 35"
30,"2010 36"
32,"2010 37"
36,"2010 38"
34,"2010 39"
39,"2010 40"
34,"2010 41"
32,"2010 42"
35,"2010 43"
54,"2010 44"
28,"2010 45"
23,"2010 46"
59,"2010 47"
48,"2010 48"
48,"2010 49"
47,"2010 50"
41,"2010 51"
26,"2010 52"
39,"2011 1"
23,"2011 2"
30,"2011 3"
32,"2011 4"
26,"2011 5"
38,"2011 6"
35,"2011 7"
33,"2011 8"
33,"2011 9"
28,"2011 10"
36,"2011 11"
45,"2011 12"
74,"2011 13"
44,"2011 14"
29,"2011 15"
27,"2011 16"
23,"2011 17"
16,"2011 18"
26,"2011 19"
24,"2011 20"
16,"2011 21"
14,"2011 22"
20,"2011 23"
26,"2011 24"
19,"2011 25"
16,"2011 26"
13,"2011 27"
16,"2011 28"
21,"2011 29"
20,"2011 30"
25,"2011 31"
23,"2011 32"
28,"2011 33"
33,"2011 34"
28,"2011 35"
35,"2011 36"
34,"2011 37"
37,"2011 38"
51,"2011 39"
48,"2011 40"
26,"2011 41"
27,"2011 42"
30,"2011 43"
28,"2011 44"
29,"2011 45"
28,"2011 46"
29,"2011 47"
54,"2011 48"
40,"2011 49"
38,"2011 50"
28,"2011 51"
29,"2011 52"
27,"2012 1"
46,"2012 2"
50,"2012 3"
81,"2012 4"
80,"2012 5"
55,"2012 6"
33,"2012 7"
33,"2012 8"
38,"2012 9"
46,"2012 10"
37,"2012 11"
30,"2012 12"
34,"2012 13"
27,"2012 14"
26,"2012 15"
24,"2012 16"
41,"2012 17"
36,"2012 18"
24,"2012 19"
23,"2012 20"
17,"2012 21"
17,"2012 22"
20,"2012 23"
28,"2012 24"
19,"2012 25"
24,"2012 26"
24,"2012 27"
18,"2012 28"
20,"2012 29"
25,"2012 30"
31,"2012 31"
35,"2012 32"
35,"2012 33"
35,"2012 34"
42,"2012 35"
47,"2012 36"
38,"2012 37"
41,"2012 38"
42,"2012 39"
44,"2012 40"
51,"2012 41"
48,"2012 42"
45,"2012 43"
40,"2012 44"
36,"2012 45"
31,"2012 46"
29,"2012 47"
38,"2012 48"
34,"2012 49"
41,"2012 50"
39,"2012 51"
26,"2012 52"
30,"2012 1"
31,"2013 2"
29,"2013 3"
29,"2013 4"
33,"2013 5"
38,"2013 6"
51,"2013 7"
33,"2013 8"
42,"2013 9"
33,"2013 10"
27,"2013 11"
30,"2013 12"
25,"2013 13"
26,"2013 14"
32,"2013 15"
29,"2013 16"
30,"2013 17"
29,"2013 18"
34,"2013 19"
30,"2013 20"
28,"2013 21"
24,"2013 22"
23,"2013 23"
24,"2013 24"
21,"2013 25"
23,"2013 26"
16,"2013 27"
25,"2013 28"
28,"2013 29"
31,"2013 30"
31,"2013 31"
35,"2013 32"
36,"2013 33"
44,"2013 34"
46,"2013 35"
61,"2013 36"
54,"2013 37"
51,"2013 38"
51,"2013 39"
45,"2013 40"
48,"2013 41"
46,"2013 42"
44,"2013 43"
37,"2013 44"
44,"2013 45"
38,"2013 46"
51,"2013 47"
28,"2013 48"
48,"2013 49"
31,"2013 50"
34,"2013 51"
27,"2013 52"
29,"2013 1"
30,"2014 2"
39,"2014 3"
35,"2014 4"
35,"2014 5"
34,"2014 6"
35,"2014 7"
35,"2014 8"
42,"2014 9"
34,"2014 10"
44,"2014 11"
41,"2014 12"
32,"2014 13"
27,"2014 14"
33,"2014 15"
30,"2014 16"
25,"2014 17"
29,"2014 18"
31,"2014 19"
33,"2014 20"
24,"2014 21"
38,"2014 22"
32,"2014 23"
26,"2014 24"
27,"2014 25"
27,"2014 26"
23,"2014 27"
28,"2014 28"
22,"2014 29"
28,"2014 30"
35,"2014 31"
38,"2014 32"
50,"2014 33"
79,"2014 34"
100,"2014 35"
80,"2014 36"
76,"2014 37"
79,"2014 38"
59,"2014 39"
52,"2014 40"
57,"2014 41"
49,"2014 42"
51,"2014 43"
42,"2014 44"
40,"2014 45"
41,"2014 46"
46,"2014 47"
29,"2014 48"
48,"2014 49"
46,"2014 50"
46,"2014 51"
24,"2014 52"
30,"2014 53"
32,"2015 1"
41,"2015 2"
35,"2015 3"
35,"2015 4"
41,"2015 5"
39,"2015 6"
36,"2015 7"
44,"2015 8"
39,"2015 9"
38,"2015 10"
35,"2015 11"
37,"2015 12"
29,"2015 13"
34,"2015 14"
30,"2015 15"
35,"2015 16"
34,"2015 17"
46,"2015 18"
41,"2015 19"
